Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Riechedly Bazoer,Konyaspor,DF,0.0,0.0,0.0,DF,False,True
Marko Jevtović,Konyaspor,"DF,MF",0.0,0.0,0.0,DF,False,True
Uğurcan Yazgılı,Konyaspor,DF,0.0,0.0,0.0,DF,False,True
Pedrinho,Konyaspor,MF,0.24,0.0,0.24,MF,True,True
Jo Jinho,Konyaspor,MF,0.0,0.0,0.0,MF,True,True
Bahadır Güngördü,Konyaspor,GK,0.0,0.0,0.0,GK,False,False
Danijel Aleksić,Konyaspor,MF,0.46,0.0,0.46,MF,True,True
Morten Bjørlo,Konyaspor,MF,0.0,0.0,0.0,MF,True,True
Muhammet Tunahan Taşçı,Konyaspor,MF,0.67,0.67,,MF,True,True
Josip Čalušić,Konyaspor,DF,0.0,0.0,0.0,DF,False,True
Marius Ştefănescu,Konyaspor,"DF,FW",0.0,0.0,0.0,DF,False,True
Melih Bostan,Konyaspor,FW,0.0,0.0,0.0,FW,True,False
Kaan Akyazi,Konyaspor,FW,0.0,0.0,0.0,FW,True,False
Ufuk Akyol,Konyaspor,MF,0.0,0.0,0.0,MF,True,True
Mücahit Ibrahimoglu,Konyaspor,MF,0.0,0.0,0.0,MF,True,True
Karahan Yasir Subaşı,Konyaspor,DF,0.0,0.0,0.0,DF,False,True
Egemen Aydın,Konyaspor,GK,,,,GK,False,False
İsmail Buğa,Konyaspor,MF,,,,MF,True,True
Muzaffer Eriş,Konyaspor,DF,,,,DF,False,True
Opponent Total,Konyaspor,NAN,,,,NAN,False,False
Casper Højer Nielsen,Rizespor,DF,0.0,0.0,0.0,DF,False,True
Giannis Papanikolaou,Rizespor,MF,0.09,0.0,0.09,MF,True,True
Qazim Laçi,Rizespor,MF,0.0,0.19,0.19,MF,True,True
Muhammet Taha Şahin,Rizespor,DF,0.0,0.0,0.0,DF,False,True
Samet Akaydın,Rizespor,DF,0.0,0.09,0.09,DF,False,True
Attila Mocsi,Rizespor,DF,0.11,0.0,0.11,DF,False,True
Ali Sowe,Rizespor,FW,0.12,0.36,0.48,FW,True,False
Yahia Fofana,Rizespor,GK,0.0,0.0,0.0,GK,False,False
Muhamed Buljubasic,Rizespor,MF,0.0,0.0,0.0,MF,True,True
Jesurun Rak Sakyi,Rizespor,"MF,FW",0.84,0.0,0.84,MF,True,True
Erdem Canpolat,Rizespor,GK,0.0,0.0,0.0,GK,False,False
Mithat Pala,Rizespor,"MF,DF",0.0,0.0,0.0,MF,True,True
Ibrahim Olawoyin,Rizespor,MF,0.22,0.0,0.22,MF,True,True
Emrecan Bulut,Rizespor,"MF,FW",0.22,0.44,0.67,MF,True,True
Václav Jurečka,Rizespor,FW,0.23,0.0,0.23,FW,True,False
Loide Augusto,Rizespor,"MF,FW",0.0,0.33,0.33,MF,True,True
Halil Dervişoğlu,Rizespor,FW,0.0,0.0,0.0,FW,True,False
Altin Zeqiri,Rizespor,"MF,FW",0.3,0.0,0.3,MF,True,True
Xusniddin Aliqulov,Rizespor,DF,0.0,0.0,0.0,DF,False,True
Modibo Sagnan,Rizespor,DF,0.0,0.0,0.0,DF,False,True
Valentin Mihaila,Rizespor,MF,0.6,0.0,0.6,MF,True,True
Taylan Antalyalı,Rizespor,MF,0.0,0.0,0.0,MF,True,True
Dal Varesanovic,Rizespor,MF,,0.0,,MF,True,True
Seyfettin Anıl Yaşar,Rizespor,DF,,,,DF,False,True
Yakup Ayan,Rizespor,NAN,,,,NAN,False,False
Bayram Çapoğlu,Rizespor,MF,,,,MF,True,True
Emir Çoban,Rizespor,DF,,,,DF,False,True
Efe Doğan,Rizespor,GK,,,,GK,False,False
Furkan Orak,Rizespor,DF,,,,DF,False,True
Osman Topçu,Rizespor,GK,,,,GK,False,False
Deniz Yaşar,Rizespor,FW,,,,FW,True,False
Opponent Total,Rizespor,NAN,,,,NAN,False,False
Rick van Drongelen,Samsunspor,DF,0.18,0.0,0.18,DF,False,True
Okan Kocuk,Samsunspor,GK,0.0,0.0,0.0,GK,False,False
Ľubomír Šatka,Samsunspor,DF,0.0,0.1,0.1,DF,False,True
Logi Tómasson,Samsunspor,DF,0.0,0.2,0.2,DF,False,True
Carlo Holse,Samsunspor,MF,0.53,0.11,0.63,MF,True,True
Zeki Yavru,Samsunspor,DF,0.0,0.0,0.0,DF,False,True
Anthony Musaba,Samsunspor,MF,0.23,0.23,0.47,MF,True,True
Olivier Ntcham,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Marius Mouandilmadji,Samsunspor,FW,0.25,0.0,0.25,FW,True,False
Antoine Makoumbou,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Celil Yüksel,Samsunspor,MF,0.0,0.19,0.19,MF,True,True
Emre Kılınç,Samsunspor,"MF,FW",0.0,0.23,0.23,MF,True,True
Tanguy Coulibaly,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Cherif Ndiaye,Samsunspor,FW,,0.0,,FW,True,False
Yunus Emre Çift,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Landry Dimata,Samsunspor,"MF,FW",0.0,0.0,0.0,MF,True,True
Joe Mendes,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Toni Borevkovic,Samsunspor,DF,0.0,0.0,0.0,DF,False,True
Afonso Sousa,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Soner Gönül,Samsunspor,DF,0.0,0.0,0.0,DF,False,True
Soner Aydoğdu,Samsunspor,MF,0.0,0.0,0.0,MF,True,True
Arbnor Muja,Samsunspor,"FW,MF",0.0,0.0,0.0,FW,True,False
Polat Yaldır,Samsunspor,FW,0.0,0.0,0.0,FW,True,False
Ebrima Ceesay,Samsunspor,FW,0.0,0.0,0.0,FW,True,False
